id,trial,agent,agent_type,is_return,path
2,snack3,A,sophisticated,FALSE,"[[3,5],[3,6],[3,7],[3,8],[3,9],[4,9],[5,9],[6,9],[7,9],[8,9],[9,9],[10,9],[10,10],[10,11],[10,12],[10,13],[11,13]]"
2,snack3,A,sophisticated,TRUE,"[[11,13],[10,13],[9,13],[9,12],[9,11],[8,11],[7,11],[6,11],[5,11],[4,11],[3,11],[3,10],[3,9],[3,8],[3,7],[3,6],[3,5]]"
2,snack1,A,sophisticated,FALSE,"[[4,5],[4,6],[4,7],[4,8],[4,9],[4,10],[3,10],[2,10],[1,10],[1,11],[1,12],[1,13]]"
2,snack1,A,sophisticated,TRUE,"[[1,13],[1,12],[1,11],[1,10],[1,9],[2,9],[3,9],[4,9],[4,8],[4,7],[4,6],[4,5]]"
2,snack10,A,sophisticated,FALSE,"[[9,3],[8,3],[7,3],[6,3],[6,4],[6,5],[6,6],[5,6],[4,6],[4,7],[4,8],[4,9]]"
2,snack10,A,sophisticated,TRUE,"[[4,9],[3,9],[2,9],[2,8],[2,7],[2,6],[2,5],[2,4],[2,3],[3,3],[4,3],[5,3],[6,3],[7,3],[8,3],[9,3]]"
2,snack7,A,sophisticated,FALSE,"[[9,3],[8,3],[7,3],[6,3],[5,3],[4,3],[3,3],[3,4],[3,5],[4,5],[4,6],[4,7],[4,8],[3,8],[2,8],[2,9],[2,10],[2,11],[2,12],[2,13]]"
2,snack7,A,sophisticated,TRUE,"[[2,13],[1,13],[1,12],[1,11],[1,10],[1,9],[1,8],[2,8],[3,8],[4,8],[5,8],[6,8],[6,7],[6,6],[6,5],[6,4],[6,3],[7,3],[8,3],[9,3]]"
2,snack5,A,sophisticated,FALSE,"[[3,10],[3,9],[3,8],[3,7],[3,6],[3,5],[2,5],[1,5],[1,4],[1,3],[2,3],[3,3],[4,3],[4,2],[4,1],[5,1],[6,1],[7,1],[8,1],[9,1],[9,2],[9,3]]"
2,snack5,A,sophisticated,TRUE,"[[9,3],[9,4],[9,5],[8,5],[7,5],[6,5],[5,5],[4,5],[3,5],[3,6],[3,7],[3,8],[3,9],[3,10]]"
